address,attempt,compiler,flags,result,summary
0x800300AC,1,gcc_2_8_1_g0_split,pre-policy-6 final -O2 -G0 -mgas -msplit-addresses,matched,6 pre-policy variants: exact with -G0 -mgas -msplit-addresses; non-matching variants used the wrong address temporary or GPREL access.
0x80030F80,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 call-wrapper candidate matched linked bytes and relocations.
0x80031078,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 global-byte assignment candidate matched.
0x8003134C,1,gcc_2_8_1_g8,-O2 -G8,matched,First empty-function candidate matched.
0x80033C90,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 mixed GPREL/absolute-store candidate matched.
0x80033CA8,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 mixed GPREL/absolute-store candidate matched.
0x80035668,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 constant/global-store candidate matched.
0x80035680,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 global-update candidate matched.
0x80035A58,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 global-byte assignment candidate matched.
0x800377AC,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 conditional-byte-store candidate matched.
0x80038070,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 call-wrapper candidate matched.
0x80038888,1,gcc_2_8_1_g8,-O2 -G8,matched,First empty-function candidate matched.
0x80038890,1,gcc_2_8_1_g8,-O2 -G8,matched,First empty-function candidate matched.
0x800389C4,1,gcc_2_8_1_g8,-O2 -G8,matched,First halfword bit-clear candidate matched.
0x80038D14,1,gcc_2_8_1_g8,-O2 -G8,matched,First -O2 -G8 byte/global-store candidate matched.
0x800156B8,1,gcc-2.8.1-psx,pre-policy >113 variants,deferred,Closest pointer-loop form matched size relocations and final seven instructions but used a1 instead of v0 for the initial address load; search exceeded the later six-attempt rule
0x800136D4,1,gcc_2_8_1_g8,pre-policy-47 final -O2 -G8,matched,47 pre-policy variants: volatile nine-byte local reproduced the exact stack adjustment and empty return.
0x80015BD8,1,gcc_2_8_1_g8,pre-policy-19 final -O2 -G8,matched,19 pre-policy variants: shared state pointer reproduced one absolute base load and the ordered value and flagged-byte stores.
0x80015BF0,1,gcc_2_8_1_g8,pre-policy-17 final -O2 -G8,matched,17 pre-policy variants: shared state pointer and ordered assignments reproduced the exact three-byte store sequence.
0x80015CFC,1,gcc_2_8_1_g8,pre-policy-4 final -O2 -G8,matched,4 pre-policy variants: direct small-data byte assignment to one reproduced the exact four-instruction sequence.
0x80015D0C,1,gcc_2_8_1_g8,pre-policy-4 final -O2 -G8,matched,4 pre-policy variants: direct small-data byte assignment to zero reproduced the exact three-instruction sequence.
0x80016778,1,gcc_2_8_1_g8,pre-policy-4 final -O2 -G8,matched,4 pre-policy variants: unsigned top-bit extraction stored to byte offset 0x69 reproduced the exact three-instruction sequence.
0x80044CFC,1,gcc_2_8_1_g0,pre-policy-26 final -O2 -G0,matched,26 pre-policy variants: exact (-G0/-G8); selected -G0 high-base $v0 form; simpler forms used $at/GP or extra addiu
0x80044D0C,1,gcc_2_8_1_g0,pre-policy-26 final -O2 -G0,matched,26 pre-policy variants: exact (-G0/-G8); selected -G0 high-base $v1/$v0 form; simpler forms ordered/allocated address incorrectly
0x80044D20,1,gcc_2_8_1_g0,pre-policy-26 final -O2 -G0,matched,26 pre-policy variants: exact (-G0/-G8); selected -G0 high-base $v1/$v0 form; simpler forms ordered/allocated address incorrectly
0x80044D34,1,gcc_2_8_1_g0,pre-policy-26 final -O2 -G0,matched,26 pre-policy variants: exact (-G0/-G8); selected -G0 high-base $v1/$v0 form; simpler forms ordered/allocated address incorrectly
0x80044DA0,1,gcc_2_8_1_g0,pre-policy-6 final -O2 -G0,matched,6 pre-policy variants: exact -G0; -G8 used GP-relative global access and volatile-byte form added loads
0x80044FE4,1,gcc_2_8_1_g0,pre-policy-2 final -O2 -G0,matched,2 pre-policy variants: exact -G0; -G8 used GP-relative global access
0x8004503C,1,gcc_2_8_1_g0,pre-policy-4 final -O2 -G0,matched,4 pre-policy variants: exact -G0; -G8 used GP-relative global access
0x8004544C,1,gcc_2_8_1_g0,pre-policy-2 final -O2 -G0,matched,2 pre-policy variants: exact -G0; -G8 used GP-relative global access
0x80047008,1,gcc_2_8_1_g8,pre-policy-2 final -O2 -G8,matched,2 pre-policy variants: exact -G8; -G0 used absolute global access
0x8004701C,1,gcc_2_8_1_g8,pre-policy-4 final -O2 -G8,matched,4 pre-policy variants: exact -G8; -G0 used absolute global access
0x8004703C,1,gcc_2_8_1_g8,pre-policy-2 final -O2 -G8,matched,2 pre-policy variants: exact -G8; -G0 used absolute global access
0x80047C50,1,gcc_2_8_1_g0,pre-policy-18 final -O2 -G0,matched,18 pre-policy variants: exact (-G0/-G8); selected -G0 forced-$v0 result; ordinary forms changed register allocation/branch delay slots
0x800490F0,1,gcc_2_8_1_g0,pre-policy-4 final -O2 -G0,matched,4 pre-policy variants: exact -G0; -G8 used GP-relative global access
0x80049108,1,gcc_2_8_1_g0,pre-policy-4 final -O2 -G0,matched,4 pre-policy variants: exact -G0; -G8 used GP-relative global access
0x80049120,1,gcc_2_8_1_g0,pre-policy-2 final -O2 -G0,matched,2 pre-policy variants: exact -G0; -G8 used GP-relative global access
0x80049594,1,gcc_2_8_1_g0,pre-policy-2 final -O2 -G0,matched,2 pre-policy variants: exact -G0; -G8 used GP-relative global access
0x800495DC,1,gcc_2_8_1_g0,pre-policy-2 final -O2 -G0,matched,2 pre-policy variants: exact -G0; -G8 used GP-relative global access
0x800495EC,1,gcc_2_8_1_g0,pre-policy-2 final -O2 -G0,matched,2 pre-policy variants: exact -G0; -G8 used GP-relative global access
0x8004A6D8,1,gcc_2_8_1_g0,pre-policy-2 final -O2 -G0,matched,2 pre-policy variants: exact under -G0 and -G8; selected -G0 call wrapper
0x8004BE6C,1,gcc_2_8_1_g0,pre-policy-4 final -O2 -G0,matched,4 pre-policy variants: exact for void/return forms under -G0/-G8; selected void -G0
0x8004BE80,1,gcc_2_8_1_g0,pre-policy-2 final -O2 -G0,matched,2 pre-policy variants: exact under -G0 and -G8; selected -G0 empty function
0x80058DC0,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight unsigned-byte G8 getter matched linked bytes and GPREL16 relocation.
0x80058DCC,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight unsigned-byte G8 getter matched linked bytes and GPREL16 relocation.
0x80058E1C,1,gcc_2_8_1_g8,pre-policy-3 final -O2 -G8,matched,3 pre-policy variants: Volatile byte reload plus unsigned result fixed to $3 reproduced the clamp sequence; two simpler forms failed scheduling/allocation.
0x80058F10,1,gcc_2_8_1_g0,pre-policy-1 final -O2 -G0,matched,1 pre-policy variants: Straight G0 integer getter matched linked bytes and HI16/LO16 relocations.
0x800591FC,1,gcc_2_8_1_g0_split,pre-policy-3 final -O2 -G0 -mgas -msplit-addresses,matched,3 pre-policy variants: Plain address return and split-only failed; -mgas -msplit-addresses placed LO16 in the return delay slot.
0x80059208,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight address-of-byte G8 return matched linked bytes and GPREL16 relocation.
0x80059214,1,gcc_2_8_1_g0_split,pre-policy-3 final -O2 -G0 -mgas -msplit-addresses,matched,3 pre-policy variants: Plain address return and split-only failed; -mgas -msplit-addresses placed LO16 in the return delay slot.
0x80059220,1,gcc_2_8_1_g0_split,pre-policy-3 final -O2 -G0 -mgas -msplit-addresses,matched,3 pre-policy variants: Plain address return and split-only failed; -mgas -msplit-addresses placed LO16 in the return delay slot.
0x80059AE0,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight unsigned-halfword G8 setter matched linked bytes and GPREL16 relocation.
0x80059AEC,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight unsigned-byte G8 setter matched linked bytes and GPREL16 relocation.
0x80059C18,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight unsigned-halfword G8 setter matched linked bytes and GPREL16 relocation.
0x80059C88,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Signed-byte comparison against -2 matched linked bytes and GPREL16 relocation.
0x80059CD0,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Signed-byte comparison against -2 matched linked bytes and GPREL16 relocation.
0x8005C374,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Three direct G8 byte assignments matched instruction order and all three GPREL16 relocations.
0x8005C5C4,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight G8 byte assignment of one matched linked bytes and GPREL16 relocation.
0x8005C690,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight G8 byte assignment of one matched linked bytes and GPREL16 relocation.
0x8005F174,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight unsigned-byte G8 getter matched linked bytes and GPREL16 relocation.
0x8005F180,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight unsigned-byte G8 setter matched linked bytes and GPREL16 relocation.
0x8005F18C,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight unsigned-byte G8 getter matched linked bytes and GPREL16 relocation.
0x8005F198,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Straight unsigned-byte G8 setter matched linked bytes and GPREL16 relocation.
0x8005F1A4,1,gcc_2_8_1_g0,pre-policy-1 final -O2 -G0,matched,1 pre-policy variants: Indexing an eight-byte struct array matched shifts address formation delay slot and HI16/LO16 relocations.
0x8005FB08,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Zero comparison of the G8 byte flag matched linked bytes and GPREL16 relocation.
0x8005FB14,1,gcc_2_8_1_g8,pre-policy-1 final -O2 -G8,matched,1 pre-policy variants: Conditional G8 word return matched branch scheduling and both GPREL16 relocations.
0x8006C2FC,1,gcc_2_8_1_g0,pre-policy-1 final -O2 -G0,matched,1 pre-policy variants: Three byte stores through the output pointer matched including the return delay slot.
0x80070FF8,1,gcc_2_8_1_g0,pre-policy-1 final -O2 -G0,matched,1 pre-policy variants: Empty function matched jr-ra and nop exactly.
0x80071000,1,gcc_2_8_1_g0,pre-policy-1 final -O2 -G0,matched,1 pre-policy variants: Empty function matched jr-ra and nop exactly.
0x80073300,1,gcc_2_8_1_g0,pre-policy-1 final -O2 -G0,matched,1 pre-policy variants: Empty function matched jr-ra and nop exactly.
0x80073308,1,gcc_2_8_1_g0,pre-policy-1 final -O2 -G0,matched,1 pre-policy variants: Empty function matched jr-ra and nop exactly.
0x80073448,1,gcc_2_8_1_g0_split,pre-policy-4 final -O2 -G0 -mgas -msplit-addresses,matched,4 pre-policy variants: Direct assignment and split-only failed; GAS split matched; a pre-rule no-gpopt probe was distinct but byte-equivalent.
0x80073458,1,gcc_2_8_1_g0_split,pre-policy-3 final -O2 -G0 -mgas -msplit-addresses,matched,3 pre-policy variants: Direct assignment and split-only failed; -mgas -msplit-addresses selected the target base register and delay-slot store.
0x80073464,1,gcc_2_8_1_g0_split,pre-policy-3 final -O2 -G0 -mgas -msplit-addresses,matched,3 pre-policy variants: Direct assignment and split-only failed; -mgas -msplit-addresses selected the target base register and delay-slot store.
0x80073474,1,gcc_2_8_1_g0_split,pre-policy-3 final -O2 -G0 -mgas -msplit-addresses,matched,3 pre-policy variants: Direct assignment and split-only failed; -mgas -msplit-addresses selected the target base register and delay-slot store.
0x800134E0,1,gcc-2.8.1-psx,-O2 -G8 direct-fields,nonmatch,Direct fields reordered loads and stores and produced a function eight bytes short
0x800134E0,2,gcc-2.8.1-psx,-O2 -G8 local-vector-pointer,matched,Local vector pointer reproduced the exact nineteen-instruction sequence
0x80013898,1,gcc-2.8.1-psx,-O2 -G8 ordered-globals,matched,Direct ordered GP-relative assignments and polling loop matched all twenty-three instructions
0x800138F4,1,gcc-2.8.1-psx,-O2 -G8 DiscFile[24],matched,Twenty-four-byte local disc descriptor reproduced the search loop and converted-location store exactly
0x80013940,1,gcc-2.8.1-psx,-O2 -G8 direct-fields,nonmatch,Compiler moved the vertical store into the branch delay and reordered LBA address formation
0x80013940,2,gcc-2.8.1-psx,-O2 -G8 volatile-field,nonmatch,Volatile vertical field fixed the first store but retained the wrong branch delay and positive-path order
0x80013940,3,gcc-2.8.1-psx,-O2 -G8 early-mask,nonmatch,Moving the file-index mask fixed both branch delays but left LBA base construction after the sector store
0x80013940,4,gcc-2.8.1-psx,-O2 -G8 volatile-v1-wrong-symbol,nonmatch,Instruction shape matched but the misidentified 0x800F9EA8 symbol produced a HI16 carry mismatch
0x80013940,5,gcc-2.8.1-psx,-O2 -G8 volatile-v1-correct-lba,matched,Correcting the runtime LBA table to 0x800E9EA8 reproduced all instructions and relocations exactly
0x80013B04,1,gcc-2.8.1-psx,-O2 -G8 early-return,nonmatch,Compiler placed the busy return at the end and reordered descriptor and LBA address formation
0x80013B04,2,gcc-2.8.1-psx,-O2 -G8 forced-register-body,nonmatch,Forced registers still inverted the branch layout and changed mask and return scheduling
0x80013B04,3,gcc-2.8.1-psx,-O2 -G8 forward-goto,nonmatch,Compiler still inverted the busy branch and moved the null return to the shared epilogue
0x8003FE80,1,gcc-2.8.1-psx,-O2 -G8 volatile-v0-lba-base,matched,Runtime LBA entries four through six and transfer polling matched all twenty-four instructions
0x80013A94,1,gcc-2.8.1-psx,-O2 -G8 transfer-descriptor,matched,Straight transfer descriptor initialization matched all twenty-eight instructions and relocations
0x80013B04,4,gcc-2.8.1-psx,-O2 -G8 -fno-reorder-blocks,nonmatch,GCC 2.8.1 does not support the requested block-reordering control flag
0x80013B04,5,gcc-2.7.2-mips,-O2 -G8 straightforward,nonmatch,Fallback compiler changed branch orientation and duplicated descriptor address relocations
0x80013B04,6,gcc-2.8.1-psx,-O1 -G8 straightforward,deferred,Lower optimization still inverted the busy branch and changed register scheduling; six-attempt budget exhausted
0x800137E4,1,gcc-2.8.1-psx,-O2 -G0 structured-loops,nonmatch,Compiler hoisted the loop mask and collapsed initial condition checks producing a function twenty bytes short
0x80012D4C,1,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Straight four-call wrapper matched all linked bytes and four R_MIPS_26 relocations.
0x80012D84,1,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Do-while with predecrement placed the decrement in the call delay slot and matched exactly.
0x800134B4,1,gcc_2_8_1_g8,gcc_2_8_1_g8,nonmatch,Direct descending array indexing emitted a scaled index each iteration and different HI16/LO16 placement.
0x800134B4,2,gcc_2_8_1_g8,gcc_2_8_1_g8,nonmatch,Explicit descending pointer matched the loop but folded +12 into the LO16 relocation and was one instruction short.
0x800134B4,3,gcc_2_8_1_g8_split,gcc_2_8_1_g8_split,nonmatch,Split-address profile still folded +12 into the LO16 relocation.
0x800134B4,4,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Fixed $v0 pointer plus an empty barrier separated base materialization from +12 and matched bytes/relocations.
0x80015010,1,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Volatile halfword clear/set operations preserved both loads and stores exactly.
0x80015038,1,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,"Volatile short-circuit tests reproduced both global loads, branches, and the call relocation."
0x800151B0,1,gcc_2_8_1_g8,gcc_2_8_1_g8,nonmatch,"Eight-byte stand-in State was classified as small data, producing an invalid GPREL16 access."
0x800151B0,2,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Forty-byte State forced the target HI16/LO16 address and preserved the five ordered byte stores.
0x800157DC,1,gcc_2_8_1_g8,gcc_2_8_1_g8,nonmatch,Eight-byte stand-in State was classified as small data instead of the target absolute address.
0x800157DC,2,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,"Large State plus ordered field updates matched both calls, address relocations, and delay-slot store."
0x80015904,1,gcc_2_8_1_g8,gcc_2_8_1_g8,nonmatch,Eight-byte stand-in State was classified as small data instead of the target absolute address.
0x80015904,2,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,"Large State plus ordered field updates matched both calls, address relocations, and delay-slot store."
0x80015998,1,gcc_2_8_1_g8,gcc_2_8_1_g8,nonmatch,Small stand-in State selected an invalid GPREL16 global access.
0x80015998,2,gcc_2_8_1_g8,gcc_2_8_1_g8,nonmatch,Large State matched the loop shape but formed both address halves in $s0 and changed prologue scheduling.
0x80015998,3,gcc_2_8_1_g8_split,gcc_2_8_1_g8_split,matched,"GAS split-address profile formed HI16 in $v0 and LO16 in $s0, matching bytes and relocations."
0x800159D8,1,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Two-call wrapper matched exactly.
0x80015A00,1,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Two-call wrapper matched exactly.
0x80015A28,1,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Two-call wrapper matched exactly.
0x80015AD8,1,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Two-call wrapper matched exactly.
0x80015B00,1,gcc_2_8_1_g8,gcc_2_8_1_g8,matched,Two-call wrapper matched exactly.
